Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
1/7/2007;00:00:00;2.744;0.350;239.090;11.600;0.000;1.000;18.000
1/7/2007;00:01:00;2.672;0.354;239.430;11.200;0.000;2.000;17.000
1/7/2007;00:02:00;2.676;0.352;239.490;11.200;0.000;1.000;18.000
1/7/2007;00:03:00;2.680;0.354;239.800;11.200;0.000;2.000;18.000
1/7/2007;00:04:00;2.550;0.334;239.890;10.600;0.000;1.000;17.000
1/7/2007;00:05:00;2.654;0.252;239.730;11.000;0.000;2.000;18.000
1/7/2007;00:06:00;2.506;0.254;239.980;10.400;0.000;1.000;17.000
1/7/2007;00:07:00;2.712;0.250;239.670;11.400;0.000;1.000;18.000
1/7/2007;00:08:00;2.824;0.248;239.550;11.800;0.000;2.000;18.000
1/7/2007;00:09:00;2.794;0.248;239.630;11.600;0.000;1.000;17.000
1/7/2007;00:10:00;2.526;0.252;239.910;10.600;0.000;1.000;18.000
1/7/2007;00:11:00;2.666;0.248;239.460;11.200;0.000;2.000;17.000
1/7/2007;00:12:00;2.468;0.242;237.830;10.400;0.000;1.000;18.000
1/7/2007;00:13:00;2.454;0.238;237.090;10.400;0.000;2.000;17.000
1/7/2007;00:14:00;2.514;0.236;237.030;10.600;0.000;1.000;17.000
1/7/2007;00:15:00;2.818;0.230;237.180;11.800;0.000;1.000;17.000
1/7/2007;00:16:00;2.802;0.230;237.330;11.800;0.000;1.000;18.000
1/7/2007;00:17:00;2.798;0.230;237.180;11.800;0.000;2.000;17.000
1/7/2007;00:18:00;2.788;0.226;236.890;11.800;0.000;1.000;17.000
1/7/2007;00:19:00;2.668;0.230;237.060;11.200;0.000;1.000;17.000
1/7/2007;00:20:00;2.792;0.228;236.800;11.800;0.000;1.000;17.000
1/7/2007;00:21:00;2.650;0.230;236.960;11.200;0.000;2.000;18.000
1/7/2007;00:22:00;2.624;0.230;237.140;11.000;0.000;1.000;17.000
1/7/2007;00:23:00;2.626;0.230;237.350;11.000;0.000;1.000;17.000
1/7/2007;00:24:00;2.650;0.132;237.430;11.200;0.000;1.000;17.000
1/7/2007;00:25:00;2.508;0.000;237.920;10.400;0.000;1.000;18.000
1/7/2007;00:26:00;2.574;0.182;237.880;10.800;0.000;2.000;17.000
1/7/2007;00:27:00;2.682;0.180;237.580;11.200;0.000;1.000;17.000
1/7/2007;00:28:00;2.622;0.182;237.700;11.000;0.000;1.000;18.000
1/7/2007;00:29:00;2.538;0.188;238.700;10.600;0.000;1.000;17.000
1/7/2007;00:30:00;2.524;0.184;238.050;10.600;0.000;1.000;18.000
1/7/2007;00:31:00;2.506;0.180;237.080;10.600;0.000;1.000;17.000
1/7/2007;00:32:00;2.472;0.172;234.970;10.400;0.000;2.000;17.000
1/7/2007;00:33:00;2.484;0.178;234.960;10.600;0.000;1.000;17.000
1/7/2007;00:34:00;2.548;0.270;234.980;10.800;0.000;1.000;17.000
1/7/2007;00:35:00;2.550;0.270;235.520;10.800;0.000;1.000;17.000
1/7/2007;00:36:00;2.564;0.268;235.220;10.800;0.000;1.000;17.000
1/7/2007;00:37:00;2.534;0.266;234.690;10.800;0.000;1.000;16.000
1/7/2007;00:38:00;2.530;0.256;234.620;10.800;0.000;1.000;17.000
1/7/2007;00:39:00;2.530;0.264;234.570;10.800;0.000;2.000;17.000
1/7/2007;00:40:00;2.696;0.266;234.800;11.400;0.000;1.000;17.000
1/7/2007;00:41:00;2.548;0.274;235.950;10.800;0.000;1.000;17.000
1/7/2007;00:42:00;2.546;0.272;235.800;10.800;0.000;1.000;17.000
1/7/2007;00:43:00;2.722;0.324;235.220;11.600;0.000;1.000;17.000
1/7/2007;00:44:00;2.720;0.306;235.250;11.600;0.000;1.000;17.000
1/7/2007;00:45:00;2.640;0.268;235.730;11.200;0.000;1.000;17.000
1/7/2007;00:46:00;2.660;0.146;235.660;11.200;0.000;2.000;17.000
1/7/2007;00:47:00;2.384;0.150;235.720;10.000;0.000;1.000;17.000
1/7/2007;00:48:00;2.540;0.148;235.540;10.800;0.000;1.000;17.000
1/7/2007;00:49:00;2.544;0.142;235.530;10.800;0.000;1.000;17.000
1/7/2007;00:50:00;2.390;0.052;236.210;10.000;0.000;1.000;17.000
1/7/2007;00:51:00;2.224;0.054;236.310;9.400;0.000;1.000;17.000
1/7/2007;00:52:00;1.542;0.054;236.860;6.400;0.000;1.000;18.000
1/7/2007;00:53:00;1.808;0.048;235.810;7.600;0.000;2.000;17.000
1/7/2007;00:54:00;1.670;0.082;235.130;7.000;0.000;1.000;17.000
1/7/2007;00:55:00;2.078;0.070;234.820;8.800;1.000;1.000;16.000
1/7/2007;00:56:00;2.082;0.056;234.760;8.800;1.000;1.000;17.000
1/7/2007;00:57:00;1.678;0.056;234.650;7.000;2.000;1.000;17.000
1/7/2007;00:58:00;1.608;0.056;234.620;6.800;1.000;1.000;17.000
1/7/2007;00:59:00;1.722;0.056;234.920;7.200;1.000;1.000;17.000
1/7/2007;01:00:00;1.686;0.056;235.110;7.200;1.000;1.000;17.000
1/7/2007;01:01:00;1.612;0.058;234.910;6.800;1.000;2.000;17.000
1/7/2007;01:02:00;1.602;0.048;235.380;6.800;2.000;1.000;17.000
1/7/2007;01:03:00;1.614;0.052;235.310;6.800;1.000;1.000;17.000
1/7/2007;01:04:00;1.614;0.058;235.440;6.800;1.000;1.000;17.000
1/7/2007;01:05:00;1.080;0.066;236.330;5.000;1.000;1.000;9.000
1/7/2007;01:06:00;0.600;0.076;237.320;2.400;1.000;1.000;0.000
1/7/2007;01:07:00;0.600;0.074;237.140;2.400;2.000;1.000;0.000
1/7/2007;01:08:00;0.596;0.072;237.230;2.400;1.000;1.000;0.000
1/7/2007;01:09:00;0.598;0.072;237.220;2.400;1.000;2.000;0.000
1/7/2007;01:10:00;0.596;0.072;237.600;2.400;1.000;1.000;0.000
1/7/2007;01:11:00;0.598;0.072;237.420;2.400;2.000;1.000;0.000
1/7/2007;01:12:00;0.606;0.094;238.570;2.600;1.000;1.000;0.000
1/7/2007;01:13:00;0.556;0.104;238.930;2.400;0.000;1.000;0.000
1/7/2007;01:14:00;0.612;0.086;238.450;2.600;2.000;1.000;0.000
1/7/2007;01:15:00;1.570;0.070;237.650;8.000;14.000;1.000;0.000
1/7/2007;01:16:00;2.864;0.136;236.380;12.000;38.000;1.000;0.000
1/7/2007;01:17:00;2.874;0.178;236.080;12.200;37.000;2.000;0.000
1/7/2007;01:18:00;2.864;0.176;236.010;12.000;38.000;1.000;0.000
1/7/2007;01:19:00;2.866;0.178;236.170;12.000;37.000;1.000;0.000
1/7/2007;01:20:00;2.940;0.256;236.120;12.400;37.000;1.000;0.000
1/7/2007;01:21:00;2.934;0.276;236.160;12.400;37.000;1.000;0.000
1/7/2007;01:22:00;2.944;0.274;236.700;12.400;38.000;1.000;0.000
1/7/2007;01:23:00;2.936;0.278;236.720;12.400;37.000;1.000;0.000
1/7/2007;01:24:00;2.928;0.272;236.790;12.400;37.000;1.000;0.000
1/7/2007;01:25:00;2.832;0.280;237.360;12.000;38.000;1.000;0.000
1/7/2007;01:26:00;0.712;0.324;240.350;3.200;2.000;2.000;0.000
1/7/2007;01:27:00;0.728;0.332;240.340;3.200;2.000;1.000;0.000
1/7/2007;01:28:00;0.762;0.332;240.110;3.400;1.000;1.000;0.000
1/7/2007;01:29:00;0.628;0.332;239.990;2.800;1.000;1.000;0.000
1/7/2007;01:30:00;0.576;0.332;239.820;2.800;1.000;1.000;0.000
1/7/2007;01:31:00;0.602;0.328;239.460;2.800;2.000;1.000;0.000
1/7/2007;01:32:00;0.678;0.320;238.220;3.000;1.000;1.000;0.000
1/7/2007;01:33:00;0.880;0.314;237.810;3.800;1.000;1.000;0.000
1/7/2007;01:34:00;0.678;0.318;238.170;3.000;1.000;1.000;0.000
1/7/2007;01:35:00;0.638;0.226;238.630;2.800;1.000;2.000;0.000
1/7/2007;01:36:00;0.652;0.090;238.760;2.600;2.000;1.000;0.000
1/7/2007;01:37:00;0.602;0.052;238.640;2.600;1.000;1.000;0.000
1/7/2007;01:38:00;0.282;0.000;238.770;1.200;1.000;0.000;0.000
1/7/2007;01:39:00;0.280;0.000;238.600;1.200;1.000;0.000;0.000
1/7/2007;01:40:00;0.282;0.000;238.450;1.200;2.000;0.000;0.000
1/7/2007;01:41:00;0.280;0.000;238.610;1.200;1.000;0.000;0.000
1/7/2007;01:42:00;0.280;0.000;238.490;1.200;1.000;0.000;0.000
1/7/2007;01:43:00;0.280;0.000;238.250;1.200;1.000;0.000;0.000
1/7/2007;01:44:00;0.280;0.000;238.020;1.200;2.000;0.000;0.000
1/7/2007;01:45:00;0.280;0.000;238.140;1.200;1.000;0.000;0.000
1/7/2007;01:46:00;0.280;0.000;238.170;1.200;1.000;0.000;0.000
1/7/2007;01:47:00;0.282;0.000;239.240;1.200;1.000;0.000;0.000
1/7/2007;01:48:00;0.282;0.000;239.340;1.200;2.000;0.000;0.000
1/7/2007;01:49:00;0.282;0.000;239.350;1.200;1.000;0.000;0.000
1/7/2007;01:50:00;0.282;0.000;239.720;1.200;1.000;0.000;0.000
